类型,级别,级别代码,资产,检查项,规则 ID,指标,实测,期望,Profile 指针,说明,原始说明,证据 ID
规则问题,警告,warning,/Game/UABADemo/01_Light/SM_UABA_01_LineSegmentCylinder.SM_UABA_01_LineSegmentCylinder,Lightmap UV,static_mesh.lightmap_uv,lightmap_uv,index=0; uv_channels=1,valid Lightmap index and >=2 UV channels,/rules/lightmap_uv,Lightmap UV 实测为 index=0; uv_channels=1；Profile 要求 valid Lightmap index and >=2 UV channels。,Lightmap coordinate index is 0 with 1 UV channels; profile requires a valid index and at least 2 channels.,ev-7ad909e49334b3fd
规则问题,警告,warning,/Game/UABADemo/01_Light/SM_UABA_02_DemoBoxMesh.SM_UABA_02_DemoBoxMesh,简单碰撞,static_mesh.simple_collision,simple_collision,0; project_default,>=1 simple primitives or complex-as-simple,/rules/simple_collision,碰撞实测为 0; project_default；Profile 要求 >=1 simple primitives or complex-as-simple。,Simple collision primitives are 0; collision complexity is project_default; profile expects >=1 simple primitives or complex-as-simple.,ev-e2e027e3df200ed6
规则问题,警告,warning,/Game/UABADemo/01_Light/SM_UABA_03_GizmoCornerHandle.SM_UABA_03_GizmoCornerHandle,Lightmap UV,static_mesh.lightmap_uv,lightmap_uv,index=0; uv_channels=1,valid Lightmap index and >=2 UV channels,/rules/lightmap_uv,Lightmap UV 实测为 index=0; uv_channels=1；Profile 要求 valid Lightmap index and >=2 UV channels。,Lightmap coordinate index is 0 with 1 UV channels; profile requires a valid index and at least 2 channels.,ev-ef1b4d3a4aca8016
规则问题,提示,info,/Game/UABADemo/01_Light/SM_UABA_03_GizmoCornerHandle.SM_UABA_03_GizmoCornerHandle,Lightmap 分辨率,static_mesh.lightmap_resolution,lightmap_resolution,4,32,/rules/lightmap_resolution/min_resolution,Lightmap 分辨率为 4，低于 Profile 下限 32。,Lightmap resolution 4 is below profile minimum 32.,ev-ddda0aa7fbb2c3d1
规则问题,警告,warning,/Game/UABADemo/01_Light/SM_UABA_04_StretchingHandle.SM_UABA_04_StretchingHandle,Lightmap UV,static_mesh.lightmap_uv,lightmap_uv,index=0; uv_channels=1,valid Lightmap index and >=2 UV channels,/rules/lightmap_uv,Lightmap UV 实测为 index=0; uv_channels=1；Profile 要求 valid Lightmap index and >=2 UV channels。,Lightmap coordinate index is 0 with 1 UV channels; profile requires a valid index and at least 2 channels.,ev-692821cc509e800f
规则问题,警告,warning,/Game/UABADemo/01_Light/SM_UABA_06_BackgroundCube.SM_UABA_06_BackgroundCube,简单碰撞,static_mesh.simple_collision,simple_collision,0; project_default,>=1 simple primitives or complex-as-simple,/rules/simple_collision,碰撞实测为 0; project_default；Profile 要求 >=1 simple primitives or complex-as-simple。,Simple collision primitives are 0; collision complexity is project_default; profile expects >=1 simple primitives or complex-as-simple.,ev-7d24b9ea6f77ae2f
规则问题,警告,warning,/Game/UABADemo/01_Light/SM_UABA_06_BackgroundCube.SM_UABA_06_BackgroundCube,Lightmap UV,static_mesh.lightmap_uv,lightmap_uv,index=0; uv_channels=1,valid Lightmap index and >=2 UV channels,/rules/lightmap_uv,Lightmap UV 实测为 index=0; uv_channels=1；Profile 要求 valid Lightmap index and >=2 UV channels。,Lightmap coordinate index is 0 with 1 UV channels; profile requires a valid index and at least 2 channels.,ev-d20109cc0fd99006
规则问题,提示,info,/Game/UABADemo/01_Light/SM_UABA_06_BackgroundCube.SM_UABA_06_BackgroundCube,Lightmap 分辨率,static_mesh.lightmap_resolution,lightmap_resolution,4,32,/rules/lightmap_resolution/min_resolution,Lightmap 分辨率为 4，低于 Profile 下限 32。,Lightmap resolution 4 is below profile minimum 32.,ev-3aed7283ca24a821
规则问题,警告,warning,/Game/UABADemo/01_Light/SM_UABA_07_SM_Dialog_Move.SM_UABA_07_SM_Dialog_Move,简单碰撞,static_mesh.simple_collision,simple_collision,0; project_default,>=1 simple primitives or complex-as-simple,/rules/simple_collision,碰撞实测为 0; project_default；Profile 要求 >=1 simple primitives or complex-as-simple。,Simple collision primitives are 0; collision complexity is project_default; profile expects >=1 simple primitives or complex-as-simple.,ev-4db280ce7d677775
规则问题,警告,warning,/Game/UABADemo/02_Medium/SM_UABA_09_RotationHandle.SM_UABA_09_RotationHandle,Lightmap UV,static_mesh.lightmap_uv,lightmap_uv,index=0; uv_channels=1,valid Lightmap index and >=2 UV channels,/rules/lightmap_uv,Lightmap UV 实测为 index=0; uv_channels=1；Profile 要求 valid Lightmap index and >=2 UV channels。,Lightmap coordinate index is 0 with 1 UV channels; profile requires a valid index and at least 2 channels.,ev-191ede0c0283c03d
规则问题,警告,warning,/Game/UABADemo/02_Medium/SM_UABA_11_SM_ContentWindow_01.SM_UABA_11_SM_ContentWindow_01,简单碰撞,static_mesh.simple_collision,simple_collision,0; project_default,>=1 simple primitives or complex-as-simple,/rules/simple_collision,碰撞实测为 0; project_default；Profile 要求 >=1 simple primitives or complex-as-simple。,Simple collision primitives are 0; collision complexity is project_default; profile expects >=1 simple primitives or complex-as-simple.,ev-232988a148219006
规则问题,警告,warning,/Game/UABADemo/02_Medium/SM_UABA_11_SM_ContentWindow_01.SM_UABA_11_SM_ContentWindow_01,Lightmap UV,static_mesh.lightmap_uv,lightmap_uv,index=0; uv_channels=1,valid Lightmap index and >=2 UV channels,/rules/lightmap_uv,Lightmap UV 实测为 index=0; uv_channels=1；Profile 要求 valid Lightmap index and >=2 UV channels。,Lightmap coordinate index is 0 with 1 UV channels; profile requires a valid index and at least 2 channels.,ev-12dab708ae0833b0
规则问题,警告,warning,/Game/UABADemo/02_Medium/SM_UABA_13_SM_CraneRig_Base.SM_UABA_13_SM_CraneRig_Base,简单碰撞,static_mesh.simple_collision,simple_collision,0; project_default,>=1 simple primitives or complex-as-simple,/rules/simple_collision,碰撞实测为 0; project_default；Profile 要求 >=1 simple primitives or complex-as-simple。,Simple collision primitives are 0; collision complexity is project_default; profile expects >=1 simple primitives or complex-as-simple.,ev-4682c279fee3d964
规则问题,警告,warning,/Game/UABADemo/02_Medium/SM_UABA_14_SM_Cube_01.SM_UABA_14_SM_Cube_01,Lightmap UV,static_mesh.lightmap_uv,lightmap_uv,index=0; uv_channels=1,valid Lightmap index and >=2 UV channels,/rules/lightmap_uv,Lightmap UV 实测为 index=0; uv_channels=1；Profile 要求 valid Lightmap index and >=2 UV channels。,Lightmap coordinate index is 0 with 1 UV channels; profile requires a valid index and at least 2 channels.,ev-078ceed90477f5fb
